name,term[area],type,shortDescription,site,emailPublico,telefonePublico,En_Cep,En_Nome_Logradouro,En_Num,En_Bairro,localizacao
DRE Pirituba,Educação,2,Diretoria Regional de Educação Pirituba,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Pirituba-1,smedrepiritubaadm@prefeitura.sp.gov.br,(11) 3397-6800,05046-000,Rua Aurélia,996,Vila Romana,Pública
DRE Freguesia/Brasilândia,Educação,2,Diretoria Regional de Educação Freguesia/Brasilândia,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Freguesia--Brasilandia,smedrefoadm@prefeitura.sp.gov.br,(11) 3932-1593,02910-060,Rua Léo Ribeiro de Moraes,66,Freguesia do Ó,Pública
DRE Jaçanã/Tremembé,Educação,2,Diretoria Regional de Educação Jaçanã/Tremembé,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Jacana--Tremembe,smedrejacanatremembeadm@prefeitura.sp.gov.br,(11) 2934-1755,02304-002,Av. Tucuruvi,808,Tucuruvi,Pública
DRE Penha,Educação,2,Diretoria Regional de Educação Penha,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Penha,smedrepenhaadm@prefeitura.sp.gov.br,(11) 3397-5070,03311-000,Rua Apucarana,215,Tatuapé,Pública
DRE São Miguel,Educação,2,Diretoria Regional de Educação São Miguel,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Sao-Miguel,smedresaomigueladm@prefeitura.sp.gov.br,(11) 3397-5018,08021-000,Av. Nordestina,747,Vila Americana,Pública
DRE Guaianases,Educação,2,Diretoria Regional de Educação Guaianases,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Guaianases,smedreguaianasesadm@prefeitura.sp.gov.br,(11) 3397-7641,08410-131,Rua Agapito Maluf,58,Vila Princesa Isabel,Pública
DRE Itaquera,Educação,2,Diretoria Regional de Educação Itaquera,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Itaquera,smedreitaqueraadm@prefeitura.sp.gov.br,(11) 3397-9400,08285-060,Av. Itaquera,241,Cidade Lider,Pública
DRE São Mateus,Educação,2,Diretoria Regional de Educação São Mateus,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Sao-Mateus,smedresaomateusadm@prefeitura.sp.gov.br,(11) 3397-6700,08375-000,Av. Ragueb Chohfi,1550,Jardim Três Marias,Pública
DRE Ipiranga,Educação,2,Diretoria Regional de Educação Ipiranga,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Ipiranga,smedreipirangaadm@prefeitura.sp.gov.br,(11) 3397-0270,04025-012,Rua Leandro Dupret,525,Vila Clementino,Pública
DRE Butantã,Educação,2,Diretoria Regional de Educação Butantã,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Butanta,smedrebutantaadm@prefeitura.sp.gov.br,(11) 3397-8422,05593-090,Rua Azem Abdala Azem,564 / 574,Jardim Bonfiglioli,Pública
DRE Campo Limpo,Educação,2,Diretoria Regional de Educação Campo Limpo,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Campo-Limpo-1,smedrecampolimpoadm@prefeitura.sp.gov.br,(11) 3396-6250,05801-000,Av. João Dias,3763,Jardim Santo Antônio,Pública
DRE Santo Amaro,Educação,2,Diretoria Regional de Educação Santo Amaro,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Santo-Amaro,smedresantoamaroadm@prefeitura.sp.gov.br,(11) 3397-9208,04635-080,Rua Doutor Abelardo Vergueiro Cesar,370,Vila Alexandria,Pública
DRE Capela do Socorro,Educação,2,Diretoria Regional de Educação Capela do Socorro,http://portal.sme.prefeitura.sp.gov.br/Main/Page/PortalSMESP/DRE-Capela-do-Socorro,smedrecapsocorroadm@prefeitura.sp.gov.br,(11) 3397-2900,04773-140,Rua Monte Carlo,25,Veleiros,Pública
