CODESC,TIPOESC,NOMESC,DRE,DIRETORIA,SUBPREF,CEU,ENDERECO,NUMERO,BAIRRO,CEP,TEL1,TEL2,FAX,SITUACAO,CDIST,DISTRITO,SETOR,CODSEE,CODINEP,EH,NOME_ANT,T2D3D,DTURNOS,LATITUDE,LONGITUDE,REDE,DATABASE,TOTCLA,TOTALU
400720,CEI INDIR,PILAR FUENTES ROMEU,PE,PENHA,MOOCA,,RUA JOÃO BIZARRO DA NAVE,241,VILA DIVA (ZONA LESTE),03351100,26599823,,,Ativa,01,AGUA RASA,0102,0433159,35433159,,,2D,INTEGR,-23571865,-46567223,CON,31/10/2016,13,143
308508,CR.P.CONV,CANTINHO DA VOVO HELENA,PE,PENHA,MOOCA,,RUA MIRANDA JORDÃO,488,CHÁCARA MAFALDA,03372010,953140324,,,Ativa,01,AGUA RASA,0102,0580855,35580855,,,2D,INTEGR,-23570252,-46554750,CON,31/10/2016,13,110
099082,EMEI,"JOSE ALOYSIO RODRIGUES CORREA, PROF.",PE,PENHA,MOOCA,,RUA MALAGA,391,PARQUE SEVILHA,03157030,20283761,,29656477,Ativa,01,AGUA RASA,0103,0094766,35094766,161074156000000,PARQUE SEVILHA,2D,MT,-23576341,-46570194,DIR,31/10/2016,6,164
095362,EMEF,"MAUA, BR. DE",PE,PENHA,MOOCA,,RUA MADRID,550,PARQUE SEVILHA,03157010,29650431,,20283737,Ativa,01,AGUA RASA,0103,0055062,35055062,161074157000000,2. ESCOLA MISTA DO PARQUE SEVILHA,2D,MTN,-23575923,-46570104,DIR,31/10/2016,21,519
095087,EMEF,"SILVIO FLEMING, MJ.",PE,PENHA,MOOCA,,RUA PAULO DE LIMA CORREA,65,VILA LIBANESA,03193060,29651943,,29651943,Ativa,01,AGUA RASA,0101,0055050,35055050,161074159000000,1 E 2 ESCOLAS MISTAS DE VILA BERTIOGA,2D,MT,-23573342,-46577419,DIR,31/10/2016,21,581
095095,EMEF,EMILIANO DI CAVALCANTI,PE,PENHA,MOOCA,,RUA ALMIRANTE ALEXANDRINO,541,VILA INVERNADA,03350010,20283756,29667839,,Ativa,01,AGUA RASA,0102,0053028,35053028,161074153000000,"1,2,3 E 4 ESCOLAS MISTAS DE VILA DIVA",2D,INTEGR,-23570124,-46568250,DIR,31/10/2016,17,355
095109,EMEF,LEONOR MENDES DE BARROS,PE,PENHA,MOOCA,,RUA RAIMUNDO CORREIA,5,VILA DIVA (ZONA LESTE),03351050,20283765,29657517,,Ativa,01,AGUA RASA,0102,0053036,35053036,161074155000000,ESCOLA MASCULINA DE VILA INVERNADA,2D,MT,-23571268,-46564172,DIR,31/10/2016,17,459
092053,EMEI,ALUISIO DE AZEVEDO,PE,PENHA,MOOCA,,RUA FAROL PAULISTANO,250,VILA ORATÓRIO,03192060,29653891,20283768,,Ativa,01,AGUA RASA,0101,0052723,35052723,161074152000000,VILA ORATORIO - PI 62,2D,MT,-23571846,-46575657,DIR,31/10/2016,8,236
092061,EMEI,CORNELIO PIRES,PE,PENHA,MOOCA,,PRACA MANOEL DE MESQUITA,15,VILA INVERNADA,03350040,29650372,,20283688,Ativa,01,AGUA RASA,0102,0085510,35085510,161074154000000,VILA DIVA,2D,MT,-23570505,-46568179,DIR,31/10/2016,8,194
092070,EMEI,"MARIO ALVES DE CARVALHO, DR.",PE,PENHA,MOOCA,,PARQUE DOM PEDRO I,S/N,VILA INVERNADA,03351125,26712684,,26710067,Ativa,01,AGUA RASA,0102,0052036,35052036,161074158000000,,2D,MT,-23570098,-46564050,DIR,31/10/2016,8,243
